340224,1071 ALFONSO UGARTE
1643642,1072
753715,10776 JUAN VELASCO ALVARADO
1159508,10778 CRUZ DE CHILCAL
1158047,10781 CRISTO REDENTOR
648154,10785 PEDRO RUIZ GALLO
1756261,10789 SEÑOR DE LOS MILAGROS
1131820,10793 CALERA SANTA ISABEL
1159011,10797 MICAELA BASTIDAS
1773639,108
1138395,108 JAVIER PEREZ DE CUELLAR
1697424,10801 JESUS REDENTOR
1464932,10817
1460997,10836 LA APLICACION
1324466,10841 JOSE CARLOS MARIATEGUI
1455054,10859 SAN PABLO DE HUASICAJ
774455,1086 JESUS REDENTOR
336636,1087 GRAL ROQUE SAENZ PEÑA
1183599,10875
1183631,10876
751230,1088 FRANCISCO BOLOGNESI
753368,10888 SEÑOR DE LOS MILAGROS
1717925,10895 MAXIMO LLAMO CONDOR
607556,109 INCA MANCO CAPAC
710749,10902 CORONEL FRANCISCO BOLOGNESI
753319,10908 NAYLAMP
1224609,10923 FANNY ABANTO CALLE
1636141,10928 CORAZON DE JESUS
753277,10931 RAMIRO PRIALE
1157890,10940 SAN ISIDRO LABRADOR
753467,10943 HUMEDADES
1718287,10982
1745025,10989 SAN PEDRO NOLAZCO
1745017,10996
1719178,11
1408368,11 DE AGOSTO
1717479,11 DE MAYO
1774264,110
665265,110 SAN MARCOS
1273838,11009 VIRGEN DE LA MEDALLA MILAGROSA
1673441,11013 SAN ISIDRO
1130137,11014 INMACULADA CONCEPCION
672600,11016 JUAN MEJIA BACA
1259431,11023 ABRAHAM VALDELOMAR
672626,11025 JUAN PABLO VIZCARDO Y GUZMAN
337436,1103 ELVIRA GARCIA Y GARCIA
1159391,11036 27 DE DICIEMBRE
1636133,11040 VALENTIN DEMETRIO PANIAGUA CORAZAO
1724483,11048
1767227,11049
535666,1105 LA SAGRADA FAMILIA
753137,11057 SAN LORENZO
1470343,11066 SEGUNDO MANUEL RUIZ SANCHEZ
1335595,11069 ALFONSO UGARTE BERNAL
1007160,1107 JAVIER PRADO
1724509,11076
1303072,11080 JORGE CHAVEZ DARTNELL
1731579,11093
578401,111 SAN JOSE DE ARTESANOS
1007491,1110 REPUBLICA DE PANAMA
340323,1112 VICTOR ANDRES BELAUNDE
1130095,11124 NUESTRA SEÑORA DE LA PAZ
1717933,11130
1666288,11132 LOS CORONADOS
1718279,11134
1158229,11136 SEÑOR DE SICAN
710087,11142 SAN JUAN DE LA VIÑA
843664,11144 RAMON ORELLANO BARRIOS
1158328,11153 CARLOS MARIATEGUI
1539618,11157 JOSE OLAYA BALANDRA
803601,11185
663971,112 HEROES DE LA BREÑA
245654,1120 PEDRO ADOLFO LABARTHE EFFIO
1129972,11223 FELIX TELLO ROJAS
1008044,1123 SAGRADO CORAZON DE JESUS
1227388,1124 JOSE MARTI
1453752,11245 JOTORO
1696343,11261
340448,1128 SAN LUIS
1529759,113
1075944,1136 JOHN F. KENNEDY
1008440,1137 JOSE ANTONIO ENCINAS
745448,1138 JOSE ABELARDO QUIÑONES
1397553,114
765370,1140 AURELIO MIRO QUEZADA SOSA
578435,1146 REPUBLICA DEL PARAGUAY
336560,1148 JUANA INFANTES VERA
1063148,115 TORIBIO RODRIGUEZ DE MENDOZA
1224922,11521 MARIA DE LOURDES
790691,11528 SEÑOR DE SIPAN
1418698,11538
